Product Name,Label,Comments/Alternates
"Cat5e 24AWG UTP Ethernet Network Cable, 6-inch Orange",,
HP Workstation Z620 - MT - 4U - 1 x Xeon E5-2620V2 / 2.1 GHz - RAM 8 GB - HDD 1 TB - DVD SuperMulti - Quadro K2000 - Gig,HP,
Startech.com Sv411k 4 Port Starview Kvm Switch Kit,Startech.com,
Hestia 2pc Speaker Stands Mocha*,Hestia,
Fosmon HDMI Female to Micro HDMI Male Adapter,Fosmon,
Lantronix SecureLinx Spider Compact Remote-KVM with Local Access - KVM / USB extender - USB,Lantronix,
Epson WorkForce 40/600 Inkjet Ink Cartridge,Epson,
Fellowes Blue Medium Mouse Pad,Fellowes,
StarTech.com 1:2 Standalone USB 2.0 Flash Drive Duplicator and Eraser - Flash Drive Copier,Startech.com,
Off Lease Refurbished DELL 1909 Widescreen 19 WideScreen LCD Flat Panel Computer Monitor Display,Dell,
"LEVITON T7280-B Surge Recep, Dup, 5-15R, LED/Audible, Ind, BL",Leviton,
3M PF23.0W9 Privacy Filter for LCD Monitor,3M,
Chief Manufacturing XpressShip PTS Series Fixed Universal Desktop Mount for 30 - 50 LCD/Plasma,Chief Manufacturing,
Hp Quadro K420 Graphic Card - 891 Mhz Core - 1 Gb Ddr3 Sdram - Pci Express 2.0 X16 - Low-profile - 3840 X 2160 - Opengl - Displayport - Dvi (j3g86at),HP,
Lenovo ThinkPad Tablet 2 Bluetooth Keyboard with Stand - Keyboard - Bluetooth - English - US - for ThinkPad Tablet 2,Lenovo,
"SQUARE D HL4IMA12C Surge Protection Device,Type 2,120kA,3P",Square D,
Corlink SFP-1GE-T-COR Juniper Compatible 1000BASE-T SFP Copper 100m RJ45,Corlink,
Audio-Technica QuietPoint ATH-ANC25 Headphone - Stereo - Black - Mini-phone - Wired - 20 Ohm - 20 Hz 20 kHz - Over-the-h,Audio-Technica,
BTI Notebook Battery - 5200 mAh - Lithium Ion (Li-Ion) - 10.8 V DC,BTI,
"HP TouchSmart 15-d037dx Core i3 3130M - 2.6 GHz, Windows 8.1 64-bit, 4 GB RAM, 750 GB HDD, DVD SuperMulti, 15.6 touchsc",HP,
"Gear Head Mouse - Optical - Wireless - Radio Frequency - Purple, Black - 1000 dpi - Scroll Wheel",Gear Head,
NEC Display E424 42 1080p LED-LCD TV - 16:9 - HDTV 1080p - ATSC - 178&#176; / 178&#176; - 1920 x 1080 - 3 x HDMI - USB - Media Pl,NEC Display,
"Acer Blue 15.6 E5-571 Laptop PC with Intel Core i3-4005U Dual-Core Processor, 4GB Memory, 500GB Hard Drive and Windows 7 Home Premium",Acer,
EDGE Boost Pro - Solid state drive - 30 GB - internal - 2.5 - SATA 6Gb/s,Edge,
"AddOn - Notebook battery - 1 x lithium ion 6-cell 5200 mAh - for Dell Latitude E5400, E5410, E5410 N-Series, E5500, E551",AddOn,
Parent Units TV Guard Button Blocker for Large Televisions,Parent Units,
"LEGRAND 40N2F05WH Raceway, Base Seam Clip G2286882",Legrand,
Targus 13.3 Laptop Skin with Handle,Targus,
"Walkera Scout X4 Quadcopter - DEVO F12E Remote, iLook + 1080p HD Camera, 3-axis gimbal, Groundstation, Carbon Color - SC",Walkera,
Acer Veriton X2631_Ec - SFF - 1 x Core i5 4440 / 3.1 GHz - RAM 4 GB - HDD 500 GB - GigE - Windows 7 Pro 64-bit / 8 Pro 6,Acer,
Installation Kit for a Pair of 8 Inch In-Ceiling Speakers,,
"Olay Total Effects 7-in-1 Anti-Aging Eye Transforming Cream, .5 oz",Olay,
Kensington ClickSafe Keyed Ultra Lock,Kensington,
"Cisco Handset Standard - Handset - charcoal - for Unified IP Phone 6901, 6911, 6921, 6941, 6945, 6961",Cisco,
APC Smart-UPS X 1500 VA Tower/Rack Mountable UPS - 1500VA/1200W - 5.8 Minute Full Load - 8 x NEMA 5-15R,APC,
StarTech.com 10 ft Mini DisplayPort to DVI Adapter Converter Cable - Mini DP to DVI 1920x1200 - White - Mini DisplayPort,Startech.com,
"SMS Audio Sync By 50 On-Ear Wireless Sport Headphone - Bluetooth, Sweat Proof, Water Resistant, Rubber Coating, Oval-Fit",SMS Audio,
Pioneer Tsa4103 4 X 10 2-Way S ers,Pioneer,
"V7 Type A Male to Type B Male USB 2.0 10 Cable, Black",V7,
Zeikos ZE-NBG3100 Battery Grip for Nikon D3100 Digital SLR Camera,Zeikos,
Off Lease REFURBISHED IBM Lenovo M91 i5 3.1GHz 12GB 1TB DVD-RW Win 7 Pro64 Desktop Computer,IBM,
"Tripp Lite 12-Port Wallmount Cat5e Patch Panel - 568B, RJ45 Ethernet",Tripp Lite,
Nyko PS4 / PS3 Universal Power Cable (Universal,Nyko,
OFM Laptop Computer Stand,OFM,
HP 16GB DDR3 SDRAM Memory Module - 16 GB (1 x 16 GB) - DDR3 SDRAM - 1600 MHz DDR3-1600/PC3-12800 - ECC - Registered - 24,HP,
Griffin KaZoo for Samsung Galaxy S5 - Smartphone - Owl - Silicone,Griffin,
Coby Electronics Pink Jammerz Isolation Stereo Earphones CVE52PNK,Coby Electronics,
Mimo Monitors 720S 7 LCD Touchscreen Monitor - 16 ms - Resistive - 800 x 480 - WVGA - 400:1 - 350 Nit - USB - RoHS - 1,Mimo Monitors,
Gear Head Screen Gear Universal Display Cleaning Kit 1 oz. - SC5500UNV,Gear Head,
"roocase Slim Fit Quadric TPU Case Protective Cover works with iPhone 6 Plus 5.5, Pink",Roocase,
Adesso AKB-410PB Slim Touch Mini Keyboard with Built in Touchpad - PS/2 - 88 Keys - Black,Adesso,
"Full-Motion Wall Mount Bracket (Max 33 lbs, 13 - 27 inch)",,
"Activision StarCraft II: Wings of Liberty - Action/Adventure Game Retail - PC, Mac",Activision,
HJC AC12/CL15/CL16/CLSP/CSR1/FS10/FS15/IS16 HJ09 Pinlock Shield Clear,Hjc,
Off Lease REFURBISHED HP DC7700 Core 2 Duo 1.8GHz 2GB 400GB CDRW/DVD Win 7 Home Desktop Computer,HP,
Samsung Compatible Cyan Toner Cartridge CLT-C506L/ CLP-680/ CLX-6260,Samsung,
Gumdrop Air Shell - Palm Tree Island Collection - iPhone 4 Case,Gumdrop,
HP Workstation Z620 - MT - 4U - 1 x Xeon E5-2620V2 / 2.1 GHz - RAM 8 GB - HDD 1 TB - DVD SuperMulti - Quadro K2000 - Gig,HP,
CyberPower EC350G Ecologic 350VA/255W Energy Efficient Desktop ECO UPS - 350 VA/255 W - Desktop - 8 x NEMA 5-15R,CyberPower,
LaCie d2 - Hard drive - 4 TB - external ( desktop ) - USB 3.0 / Thunderbolt - 7200 rpm,LaCie,
"Ultra Slim Series USB 3.0 Cable, A Male to Micro B Male, 2 Ft Black",,
Steren 200-130 F-jack To Bnc Plug Adapter,Steren,
Lexmark X340A11G Black Return Program Toner Cartridge,Lexmark,
Crucial - DDR3 - 4 GB : 2 x 2 GB - SO DIMM 204-pin - 1600 MHz / PC3-12800 - CL11 - 1.35 V - unbuffered - non-ECC,Crucial,
EDGE - DDR3 - 4 GB - DIMM 240-pin - 1600 MHz / PC3-12800 - unbuffered - ECC,Edge,
Corlink 108659228-COR Avaya Compatible 1000BASE-SX GBIC 850nm 550m MMF SC,Corlink,
Chief Manufacturing Reaction Series Single Articulating Arm Tilt/Swivel Universal Wall Mount for up to 65 LCD/Plasma,Chief Manufacturing,
RCA RCR4358N 4-Device Big-Button Universal Remote,RCA,
Nintendo Super Mario 3D World - Action/Adventure Game Retail - Wii U,Nintendo,
"StarTech 14AWG Computer Power Cord, 3",StarTech,
Midland LXT600VP3 Gmrs 36 Channel Outfitters Camoperp Up To 26 Miles Value Pack,Midland,
"Belkin Gold Series - Printer cable - DB-25 (M) - 36 pin Centronics (M) - 10 ft ( IEEE-1284 ) - molded, thumbscrews, stra",Belkin,
Tripp Lite Internet Office INTERNET600U 600VA Mini Desktop UPS - 600VA/300W - 3 Minute Full Load - 8 x NEMA 5-15R,Tripp Lite,
Add-on Computer-XFP transceiver module-10GBase-SR-LC multi-mode-up to 980 ft-850 nm-XFP-SR,,
"BRADY R4410-RD Thermal Transfer Printer Ribbon, Red",Brady,
Panasonic Toughbook Cf-53salc8rm 14 Led Notebook - Intel Core I5 I5-3340m 2.70 Ghz - 4 Gb Ram - 500 Gb Hdd - Intel Hd 4000 Graphics - Windows 8 - 1366 X 768 Display - Bluetooth (cf-53salc8rm),Panasonic,
VTG MDPK Black Banana Plugs 2-Pack,VTG,
"Fiber Optic Cable, LC/SC, Single Mode, Duplex - 1 meter (9/125 Type) - Yellow",,
AddOn - Twinaxial cable - SFP+ - SFP+ - 16.4 ft,AddOn,
AddOn - Network cable - QSFP+ - QSFP+ - 16.4 ft - fiber optic - active cable (signal regeneration),AddOn,
Off Lease REFURBISHED HP Pro 6200 3.1GHz Quad Core i5 4GB 160GB DVD Win 7 Pro64 Small Form Computer PC,HP,
CTA Sure Shot Rifle (Wii),CTA,
McKlein USA R Series Roosevelt Leather Laptop Catalog Case,McKlein USA,
LG 34UM94-P 34 LED LCD Monitor - 21:9 - 5 ms - Adjustable Display Angle - 3440 x 1440 - 1.07 Billion Colors - 320 Nit -,LG,
Lenovo ThinkPad S1 Yoga Intel Core i5 4GB Memory 5 (Refurbished),Lenovo,
Cables To Go 01949 Rj45 Cat5 8x8 Modular Plug For Flat Stranded Cable 100pk,Cables To Go,
Clover Technologies Toner Cartridge - Black - Laser - 10000 Page - 1 Each - Remanufactured,Clover Technologies,
"Corsair CMSA4GX3M1A1066C7 MacBook Memory Module - 4GB, PC3-8500, DDR3-1066MHZ, 7-7-7-20 CAS Latency, 204-pin SO-DIMM, 1.",Corsair,
Kyasi London All Business Carrying Case (Folio) for iPad - Rad Red - Synthetic Leather,Kyasi,
"LG 55 Class UHD 4K Smart 3D LED TV - WebOS, Ultra HD, 3840x2160 Resolution, 4x HDMI, WiFi, Web Browser - 55UB8500",LG,
Brother TN460 Black Toner Cartridge,Brother,
Corlink 61003024-COR Adva Compatible 1000BASE-CWDM SFP 1GE 2G FC 1550nm 80km DOM SMF LC,Corlink,
Polk Audio TSi 400 Black (Ea) Floorstanding Tower Loudspeaker,Polk Audio,
PC+TPU Horizontal Stand Case for Galaxy SIII - Black/Clear,,
Off Lease REFURBISHED HP Compaq DC7800 C2D 2.2GHz 8GB 1TB DVD Win 7 Pro64 Desktop Computer + 17 LCD,HP,
"Trident Aegis Iphone Case - Iphone - U.s. Marines Troops - Thermoplastic Elastomer [tpe], Polycarbonate, Silicone (ag-api647-bkk03)",Trident,
10FT 24AWG Cat5e 350MHz UTP Bare Copper Ethernet Network Cable - Purple,,
"Acer 24 Widescreen LED-LCD Monitor, Black (S242HL)",Acer,
"Mobile Edge NeoGrid Sleeve for Apple iPad and 10 Tablets, Assorted Color Stitching",Mobile Edge,
6ft USB 2.0 A Male to A Male 28/24AWG Cable (Gold Plated) - WHITE,,
"Pelican 1170-000-240 Protective Case with Foam, Yellow",Pelican,
Corlink 7SX-000-COR Adva Compatible 1000BASE-CWDM SFP 1GE 2G FC 1490nm 80km DOM SMF LC,Corlink,
Dane-Elec High-Speed 8GB Class 10 SDHC Card,Dane-Elec,
Minuteman En750 Enspire 750va Stand-by Ups,Minuteman,
Raritan Dominion DLX-116 Digital KVM Switch - 16 Computer(s) - 1 Local User(s) - 1 Remote User(s) - 1920 x 1080 - 17 x N,Raritan,
"Audiofly 78 Series Earphones, Marque Black",Audiofly,
High School Musical 3: Senior Year DANCE! Bundle (Xbox 360),,
